,Iterative timing,Recursive timing,Tail timing
77,1.7999991541728377e-06,5.199999577598646e-06,3.0999981390777975e-06
78,1.6999983927235007e-06,5.299996701069176e-06,3.0999981390777975e-06
79,1.8999999156221747e-06,5.199999577598646e-06,3.1999989005271345e-06
80,1.7999991541728377e-06,5.299996701069176e-06,3.1999989005271345e-06
81,1.7999991541728377e-06,5.199999577598646e-06,3.0000010156072676e-06
82,1.8999999156221747e-06,5.199999577598646e-06,3.1000017770566046e-06
83,1.8999999156221747e-06,5.099998816149309e-06,3.0999981390777975e-06
84,1.8999999156221747e-06,5.399997462518513e-06,2.9999973776284605e-06
85,1.8999999156221747e-06,5.399997462518513e-06,3.0000010156072676e-06
86,1.7999991541728377e-06,5.000001692678779e-06,2.8999966161791235e-06
87,1.6999983927235007e-06,5.399997462518513e-06,2.9000002541579306e-06
88,1.8999999156221747e-06,5.300000339047983e-06,2.9999973776284605e-06
89,1.8999999156221747e-06,5.199999577598646e-06,2.9999973776284605e-06
90,1.7999991541728377e-06,5.399997462518513e-06,2.8999966161791235e-06
91,2.1999985619913787e-06,5.099998816149309e-06,2.9000002541579306e-06
92,1.7999991541728377e-06,5.099998816149309e-06,3.0999981390777975e-06
93,1.8999999156221747e-06,5.399997462518513e-06,2.9999973776284605e-06
94,1.8999999156221747e-06,4.899997293250635e-06,2.9999973776284605e-06
95,1.6999983927235007e-06,5.199999577598646e-06,3.0999981390777975e-06
96,2.0999978005420417e-06,5.200003215577453e-06,3.0999981390777975e-06
97,2.0999978005420417e-06,5.199999577598646e-06,3.0999981390777975e-06
98,2.4999972083605826e-06,5.199999577598646e-06,2.9999973776284605e-06
99,2.0000006770715117e-06,5.199999577598646e-06,2.9999973776284605e-06
100,2.0999978005420417e-06,5.399997462518513e-06,2.8999966161791235e-06
101,2.0999978005420417e-06,4.899997293250635e-06,2.8999966161791235e-06
102,2.0999978005420417e-06,4.799996531801298e-06,2.8999966161791235e-06
103,1.9999970390927047e-06,5.199999577598646e-06,2.8999966161791235e-06
104,2.0999978005420417e-06,5.199999577598646e-06,2.9999973776284605e-06
105,2.1999985619913787e-06,5.199999577598646e-06,3.0999981390777975e-06
106,2.0000006770715117e-06,5.199999577598646e-06,2.9999973776284605e-06
107,2.0000006770715117e-06,5.199999577598646e-06,3.0999981390777975e-06
108,1.9999970390927047e-06,5.399997462518513e-06,3.0999981390777975e-06
109,2.0999978005420417e-06,5.199999577598646e-06,3.0999981390777975e-06
110,1.8999999156221747e-06,5.199999577598646e-06,2.9999973776284605e-06
111,1.9999970390927047e-06,5.199999577598646e-06,2.9999973776284605e-06
112,2.0999978005420417e-06,5.199999577598646e-06,2.8999966161791235e-06
113,1.9999970390927047e-06,5.199999577598646e-06,2.8999966161791235e-06
114,1.8999999156221747e-06,5.199999577598646e-06,2.9999973776284605e-06
115,1.9999970390927047e-06,5.299996701069176e-06,2.9999973776284605e-06
116,2.0999978005420417e-06,5.199999577598646e-06,2.9999973776284605e-06
117,2.1999985619913787e-06,5.199999577598646e-06,3.0999981390777975e-06
118,1.9999970390927047e-06,4.899997293250635e-06,3.0999981390777975e-06
119,1.9999970390927047e-06,5.199999577598646e-06,3.0999981390777975e-06
120,2.0999978005420417e-06,5.099998816149309e-06,3.0999981390777975e-06
121,1.9999970390927047e-06,5.199999577598646e-06,3.0999981390777975e-06
122,2.0999978005420417e-06,4.899997293250635e-06,3.0999981390777975e-06
123,2.0999978005420417e-06,5.199999577598646e-06,3.0000010156072676e-06
124,2.0999978005420417e-06,4.799996531801298e-06,2.9999973776284605e-06
125,1.9999970390927047e-06,5.199999577598646e-06,2.8999966161791235e-06
126,2.0000006770715117e-06,5.299996701069176e-06,2.9999973776284605e-06
127,2.0999978005420417e-06,4.999998054699972e-06,3.0999981390777975e-06
128,2.0999978005420417e-06,5.999998393235728e-06,3.3999967854470015e-06
