,Route,Direction,Stop,Model,RMSE,MAE
2,67,1,493,random forest,38.29987250833533,19.597962133423447
0,17,1,2010,lin_reg,94.41280547533944,51.180773577730285
1,17,1,2010,decision Tree,19.256916164116454,3.1522832850938944
2,17,1,2010,random forest,59.2632262856008,25.784933000528184
0,15,1,1016,lin_reg,61.20411282740078,44.244706041643326
1,15,1,1016,decision Tree,12.52760158186525,3.7699967562479246
2,15,1,1016,random forest,32.19275556961294,19.617552557179156
0,25B,1,4599,lin_reg,18.891063793411718,12.197648839366487
1,25B,1,4599,decision Tree,4.80242146505,1.3999730653654836
2,25B,1,4599,random forest,11.269812249698928,6.113473390249133
0,33,2,3698,lin_reg,32.63051603261302,20.76060512816229
1,33,2,3698,decision Tree,0.8414484748451941,0.13769995067044621
2,33,2,3698,random forest,13.259709973389297,5.862351988170615
0,51D,2,754,lin_reg,365.8237158470236,233.14818710277817
1,51D,2,754,decision Tree,0.0,0.0
2,51D,2,754,random forest,212.74650804574918,101.32264957264957
0,123,2,1454,lin_reg,27.731386784913816,16.720491439732793
1,123,2,1454,decision Tree,9.836105241263711,3.761969614651778
2,123,2,1454,random forest,15.769975668894629,8.601993546246334
0,116,2,768,lin_reg,43.6660967346282,35.19876210220367
1,116,2,768,decision Tree,0.0,0.0
2,116,2,768,random forest,20.52189436061272,13.32183908045977
0,7,1,3214,lin_reg,49.39300948531755,31.577726094264985
1,7,1,3214,decision Tree,7.082023454470348,1.6454473333968527
2,7,1,3214,random forest,30.634178823378956,14.37720780987066
0,14,2,1185,lin_reg,27.79712421877154,21.820501066079352
1,14,2,1185,decision Tree,9.496509457694543,3.4513331578665274
2,14,2,1185,random forest,18.42203722855359,12.123965365137646
0,70D,1,175,lin_reg,60.25652278272652,45.82878457544834
1,70D,1,175,decision Tree,0.0,0.0
2,70D,1,175,random forest,37.36072437709982,22.704260651629074
0,17A,2,1246,lin_reg,40.570596860982825,28.022574780554056
1,17A,2,1246,decision Tree,10.865610487318795,3.351436302425937
2,17A,2,1246,random forest,23.1075807589258,13.374925601672714
0,220,2,110,lin_reg,16.62270825751618,12.733357328780727
1,220,2,110,decision Tree,0.0,0.0
