,Unnamed: 0,Route,Direction,Stop,Model,RMSE,MAE,Mean_MAE,Mean_RMSE
18889,1,41D,1,19,decision Tree,0.0,0.0,7.066321281599783,9.58316173201324
18890,2,41D,1,19,random forest,10.969655114602888,9.499999999999998,7.066321281599783,9.58316173201324
19227,0,41D,1,203,lin_reg,1.729511229019423e-12,1.4956924587750109e-12,7.066321281599783,9.58316173201324
19228,1,41D,1,203,decision Tree,0.0,0.0,7.066321281599783,9.58316173201324
19229,2,41D,1,203,random forest,16.909070544138928,14.75,7.066321281599783,9.58316173201324
20469,0,41D,2,46,lin_reg,1.0020036609148277e-11,8.483880264975596e-12,7.066321281599783,9.58316173201324
20470,1,41D,2,46,decision Tree,0.0,0.0,7.066321281599783,9.58316173201324
20471,2,41D,2,46,random forest,13.025615788386617,10.000000000000002,7.066321281599783,9.58316173201324
21324,0,41D,2,3695,lin_reg,1.101095109736151e-11,9.354802646807264e-12,7.066321281599783,9.58316173201324
21325,1,41D,2,3695,decision Tree,0.0,0.0,7.066321281599783,9.58316173201324
21326,2,41D,2,3695,random forest,23.97485455208541,13.047619047619047,7.066321281599783,9.58316173201324
22068,0,41D,2,1634,lin_reg,3.216216575455896e-13,2.678746113815578e-13,7.066321281599783,9.58316173201324
22069,1,41D,2,1634,decision Tree,0.0,0.0,7.066321281599783,9.58316173201324
22070,2,41D,2,1634,random forest,8.537498983243799,6.133333333333334,7.066321281599783,9.58316173201324
22842,0,41D,2,1641,lin_reg,6.095777561519987e-14,5.1159076974727215e-14,7.066321281599783,9.58316173201324
22843,1,41D,2,1641,decision Tree,0.0,0.0,7.066321281599783,9.58316173201324
22844,2,41D,2,1641,random forest,7.754568545917522,4.933333333333335,7.066321281599783,9.58316173201324
23133,0,41D,2,1637,lin_reg,8.03887338846093e-14,6.821210263296963e-14,7.066321281599783,9.58316173201324
23134,1,41D,2,1637,decision Tree,0.0,0.0,7.066321281599783,9.58316173201324
23135,2,41D,2,1637,random forest,8.77876225140348,6.266666666666668,7.066321281599783,9.58316173201324
23913,0,41D,2,3694,lin_reg,3.288819593752352e-11,2.8762769943568856e-11,7.066321281599783,9.58316173201324
23914,1,41D,2,3694,decision Tree,0.0,0.0,7.066321281599783,9.58316173201324
23915,2,41D,2,3694,random forest,211.37582818463596,147.11111111111111,7.066321281599783,9.58316173201324
24096,0,41D,1,204,lin_reg,1.0284477146264329e-13,8.526512829121202e-14,7.066321281599783,9.58316173201324
24097,1,41D,1,204,decision Tree,0.0,0.0,7.066321281599783,9.58316173201324
24098,2,41D,1,204,random forest,4.666666666666666,3.333333333333333,7.066321281599783,9.58316173201324
