,Route,Direction,Stop,Max,Min
0,45A,1,3047,1266.0,-160.0
0,33,1,3676,654.0,-173.0
0,31A,2,695,330.0,-20.0
0,79,1,2656,923.0,-556.0
0,140,1,1018,570.0,-135.0
0,61,2,886,291.0,-109.0
0,40,2,1996,954.0,-80.0
0,46A,2,2040,1675.0,-85.0
0,27,1,1220,1153.0,-250.0
0,150,1,1099,1801.0,-368.0
0,84A,2,3144,143.0,-131.0
0,68,1,3379,231.0,-48.0
0,220,2,1586,118.0,-27.0
0,33D,2,3733,341.0,-14.0
0,84,1,3128,1702.0,-95.0
0,185,1,4421,212.0,-37.0
0,42,2,3606,2239.0,-33.0
0,83A,1,1016,760.0,-269.0
0,11,2,885,295.0,-57.0
0,145,1,4173,260.0,-63.0
0,116,1,757,61.0,-54.0
0,39A,1,1914,600.0,-51.0
0,220,1,4363,136.0,-261.0
0,65B,1,2532,962.0,-168.0
0,239,2,1844,597.0,-16.0
0,38,1,7124,172.0,-20.0
0,44,2,210,252.0,-30.0
0,41D,2,3751,-60.0,-60.0
0,7B,1,2007,341.0,-57.0
0,79A,1,2647,476.0,-51.0
0,17A,2,6078,1064.0,-321.0
0,39,1,1871,247.0,-52.0
0,114,2,6006,265.0,-92.0
0,83A,2,1540,128.0,-58.0
0,39,1,774,59.0,-23.0
0,84,2,3153,1003.0,-150.0
0,67X,2,3946,124.0,-49.0
0,104,2,1767,49.0,-209.0
0,83A,2,6348,1190.0,-117.0
0,54A,1,4436,608.0,-496.0
0,65,1,4006,129.0,-24.0
0,130,1,1754,203.0,-49.0
0,31B,2,601,246.0,-38.0
0,14C,2,2847,133.0,-18.0
0,44,1,213,456.0,-272.0
0,15D,2,2984,118.0,-58.0
0,56A,1,2729,127.0,-35.0
0,26,1,312,1933.0,-425.0
0,102,1,3618,273.0,-285.0
0,184,1,4136,376.0,-67.0
0,65,1,1130,485.0,-116.0
0,15,1,666,543.0,-155.0
0,39A,2,1907,425.0,-98.0
0,14,1,2865,1697.0,-436.0
0,45A,2,3248,161.0,-18.0
0,27A,1,515,513.0,-81.0
0,7A,2,473,270.0,-147.0
0,45A,1,3205,1165.0,-76.0
0,142,1,1016,574.0,-249.0
0,84,2,4170,1962.0,-1409.0
0,41X,1,3090,72.0,-22.0
0,83A,2,2492,1322.0,-2612.0
0,9,2,194,1362.0,-824.0
0,102,1,788,615.0,-306.0
0,32X,1,3598,105.0,-7.0
0,13,1,4379,964.0,-120.0
0,18,2,1077,477.0,-220.0
0,75,2,2065,217.0,-48.0
0,40,2,4689,572.0,-244.0
0,41,2,5079,813.0,-502.0
0,33,2,48,268.0,-88.0
0,4,2,469,707.0,-222.0
0,65,2,4056,94.0,-15.0
0,66,1,3888,383.0,-34.0
0,44,2,2894,383.0,-141.0
0,220,1,1576,253.0,-431.0
0,33,2,3824,284.0,-68.0
0,76A,1,2672,420.0,-270.0
0,40D,1,4979,393.0,-246.0
0,33,2,3750,330.0,-288.0
0,16,2,1344,839.0,-159.0
0,15B,2,2985,583.0,-121.0
0,145,2,774,1830.0,-398.0
0,111,2,2043,776.0,-175.0
0,33E,1,17,103.0,-16.0
0,54A,1,2557,560.0,-130.0
0,46E,2,4728,164.0,-74.0
0,111,2,3067,142.0,-34.0
0,38D,2,752,170.0,-49.0
