,Route,Direction,Model,MAE,RMSE
1,26,2,Linear Regression,42.31601928246497,72.92120239370132
2,26,1,Decision Tree,1.2373082857847322,5.1967652373910385
3,26,2,Decision Tree,1.2060026470448917,5.061314183701195
4,26,1,Random Forest,17.144217575766994,33.816542950827326
5,26,2,Random Forest,21.953565746481807,46.29835850614718
0,56A,1,Linear Regression,20.948730303957444,31.180403387540647
1,56A,2,Linear Regression,22.349962910536338,34.4521148390439
2,56A,1,Decision Tree,0.46342985171323775,2.4709450741979815
3,56A,2,Decision Tree,0.8895075514420318,3.6425297240165952
4,56A,1,Random Forest,10.137770253395132,18.455839886908162
5,56A,2,Random Forest,10.405772850282371,19.739096363693346
0,33A,1,Linear Regression,17.131612099544455,27.561295329986123
1,33A,2,Linear Regression,15.523748963627854,25.010317843182385
2,33A,1,Decision Tree,0.05002425389734376,0.35681244162665715
3,33A,2,Decision Tree,0.03443477384444872,0.24394990201651504
4,33A,1,Random Forest,9.38847026609157,17.772891087638182
5,33A,2,Random Forest,8.633941888350975,16.860688802697034
0,59,1,Linear Regression,21.673561007741114,34.09813272177121
1,59,2,Linear Regression,19.63777286101455,30.16811666316012
2,59,1,Decision Tree,0.40564669269714576,1.9572481176001506
3,59,2,Decision Tree,0.37449264223362605,1.868017796978389
4,59,1,Random Forest,9.807682405740112,19.205980909157955
5,59,2,Random Forest,10.365376899567044,19.28802006387465
0,220,1,Linear Regression,21.8163213520247,31.722842114788936
1,220,2,Linear Regression,25.623047403246503,38.71341547129304
2,220,1,Decision Tree,0.2866878117405566,1.349638907366275
3,220,2,Decision Tree,0.09311298962852585,0.5967576282813134
4,220,1,Random Forest,10.542476809826521,18.61124830048485
5,220,2,Random Forest,11.802489817722737,22.455751714970628
0,184,1,Linear Regression,15.420301467120634,26.34551033303129
1,184,2,Linear Regression,22.975241973126423,35.7691503341301
2,184,1,Decision Tree,0.9412540128742027,3.5871802163280293
3,184,2,Decision Tree,1.5933245930278555,6.329084627930206
4,184,1,Random Forest,7.535745676257324,15.573105750682851
5,184,2,Random Forest,10.690783868235519,21.374822946011985
0,142,1,Linear Regression,31.146681787139993,43.27862968174339
1,142,2,Linear Regression,29.146066161510287,42.02425403309919
2,142,1,Decision Tree,0.14307300378532334,0.873041336070045
3,142,2,Decision Tree,0.1670559254206939,1.0766350924949892
4,142,1,Random Forest,14.191180790166733,24.659861981139095
5,142,2,Random Forest,13.186584438594883,23.337286203591322
0,31B,1,Linear Regression,16.941059887204844,23.397545716101902
1,31B,2,Linear Regression,16.24011998467246,23.049084191432286
2,31B,1,Decision Tree,0.002313510700474272,0.02287650173736848
3,31B,2,Decision Tree,0.007197649447480677,0.0820959555389037
4,31B,1,Random Forest,8.164035110693135,13.796850295982162
5,31B,2,Random Forest,6.964301533050906,12.286105156977186
0,68A,1,Linear Regression,34.13751903006226,49.12431812895848
1,68A,2,Linear Regression,42.830061609478335,56.92733302276812
2,68A,1,Decision Tree,0.11665168197516446,0.5652458908464734
3,68A,2,Decision Tree,0.0,0.0
4,68A,1,Random Forest,27.00634577244961,44.50272299789639
5,68A,2,Random Forest,26.239309912603847,40.95300251798623
0,66B,1,Linear Regression,35.765517082716194,50.72539049115139
1,66B,2,Linear Regression,31.12240934258032,47.750175427220476
2,66B,1,Decision Tree,0.5153493295766266,3.0931600822696548
3,66B,2,Decision Tree,0.49729493096736066,2.6717807231748942
4,66B,1,Random Forest,16.41559959654416,29.60966842546103
5,66B,2,Random Forest,16.858134226528676,31.813111806981986
0,111,1,Linear Regression,22.340755321172736,38.03500466001686
1,111,2,Linear Regression,29.257423945356948,41.74049856748474
2,111,1,Decision Tree,0.6418792546741574,2.679165435181082
3,111,2,Decision Tree,0.7351263290885792,3.206825685221479
4,111,1,Random Forest,10.111614908806974,22.24400393914284
5,111,2,Random Forest,13.334892920193703,23.526386068046943
0,236,1,Linear Regression,23.2106844552772,32.12185476030083
1,236,2,Linear Regression,25.173173449698563,35.50664086720016
2,236,1,Decision Tree,0.000925925925925925,0.009457062278320204
3,236,2,Decision Tree,0.0,0.0
4,236,1,Random Forest,9.932676360285777,17.859991171122036
5,236,2,Random Forest,11.098251535117766,19.575251257174013
0,84A,1,Linear Regression,36.12831886182876,57.55498091839511
1,84A,2,Linear Regression,30.076600105593922,42.585649065657314
2,84A,1,Decision Tree,0.16872927632790072,1.0557187586714758
3,84A,2,Decision Tree,0.06721165110052346,0.5732469757848552
4,84A,1,Random Forest,22.713731521999645,43.63088424398321
5,84A,2,Random Forest,12.730575534461115,23.043784137394766
0,67X,1,Linear Regression,21.580703033659766,28.37330617765552
1,67X,2,Linear Regression,25.784767970912007,34.02345097921307
2,67X,1,Decision Tree,0.18168750154432214,1.126180996038553
3,67X,2,Decision Tree,0.28018226555332065,1.5816215412290786
4,67X,1,Random Forest,9.995670487613303,16.10996010152787
5,67X,2,Random Forest,11.844103497590426,19.37179819250896
0,84X,1,Linear Regression,42.0283791505069,56.32214725861499
1,84X,2,Linear Regression,31.7726297817395,46.06295962378315
2,84X,1,Decision Tree,0.05158297732159105,0.44960646376428764
3,84X,2,Decision Tree,0.34009198516951894,1.9273492856869205
4,84X,1,Random Forest,25.254176591191204,40.55757338432985
5,84X,2,Random Forest,15.681552563895506,27.0541765764847
0,239,1,Linear Regression,49.449515975534936,65.57258975232884
1,239,2,Linear Regression,57.043765804973226,84.64460648279479
2,239,1,Decision Tree,0.38511833371809046,3.2267961296980605
3,239,2,Decision Tree,0.27124284216937056,1.8996947360091418
4,239,1,Random Forest,26.934416619419174,48.31289923799499
5,239,2,Random Forest,25.61705198789677,52.30778720993781
0,42D,1,Linear Regression,23.039468144327056,32.01967880112763
1,42D,2,Linear Regression,18.335219759899008,24.872647151893798
2,42D,1,Decision Tree,0.0,0.0
3,42D,2,Decision Tree,0.0,0.0
4,42D,1,Random Forest,10.537417916476395,18.571361066993692
5,42D,2,Random Forest,7.6924086461042975,13.059094910822543
0,66X,1,Linear Regression,24.146138000857636,32.656152877142226
1,66X,2,Linear Regression,34.73196420517279,45.19648112689394
2,66X,1,Decision Tree,0.18332086657175764,0.9986947869239204
3,66X,2,Decision Tree,1.3253797763915556,4.744595731365728
4,66X,1,Random Forest,11.4743358112423,18.86397737614881
5,66X,2,Random Forest,16.752340666332632,27.290766736785752
0,41X,1,Linear Regression,29.793772708999626,39.170975513358485
1,41X,2,Linear Regression,26.32081336930883,35.908933988243874
2,41X,1,Decision Tree,0.28018939953098404,1.4162082030736949
3,41X,2,Decision Tree,0.2787713361156497,1.3598239239848025
4,41X,1,Random Forest,14.78148673499361,23.87499350166149
5,41X,2,Random Forest,16.552930720516812,26.410761999006297
0,46E,1,Linear Regression,,
1,46E,2,Linear Regression,37.895338388718926,51.013376145650305
2,46E,1,Decision Tree,,
3,46E,2,Decision Tree,0.002972360115217251,0.019863887276207977
4,46E,1,Random Forest,,
5,46E,2,Random Forest,17.857073721860246,28.87002423367964
0,38B,1,Linear Regression,26.823019096819795,36.51808929477136
1,38B,2,Linear Regression,44.861849163819926,64.46359860225992
2,38B,1,Decision Tree,0.05247953095395228,0.4471740609717021
3,38B,2,Decision Tree,0.27347056880966625,1.5604096791303634
4,38B,1,Random Forest,14.009183354810073,24.15159007412111
5,38B,2,Random Forest,20.797679117129682,38.38055203827244
0,7B,1,Linear Regression,26.47765114379432,39.51736726973503
1,7B,2,Linear Regression,34.38787505839367,47.43403637197166
2,7B,1,Decision Tree,0.21617860355703078,1.2397024078203223
3,7B,2,Decision Tree,0.21805119407444917,0.9235841188281599
4,7B,1,Random Forest,12.30148383875081,22.601314897891108
5,7B,2,Random Forest,18.196159824524756,31.235191004794935
0,114,1,Linear Regression,36.33834864979168,57.43591107216527
1,114,2,Linear Regression,36.7652703926454,59.592949780866164
2,114,1,Decision Tree,0.4050676823465753,2.3406527456928776
3,114,2,Decision Tree,0.3946952831726139,2.216391883845668
4,114,1,Random Forest,16.89256402604036,32.10387613805364
5,114,2,Random Forest,16.61431705796375,33.73250986496491
0,7D,1,Linear Regression,26.50727538628544,34.16607404390852
1,7D,2,Linear Regression,28.334095255594235,38.903081838727374
2,7D,1,Decision Tree,0.001916788814973502,0.011992359559241541
3,7D,2,Decision Tree,0.0,0.0
4,7D,1,Random Forest,12.777699686381613,20.647279414624965
5,7D,2,Random Forest,12.215052939334676,23.393477262582195
0,32X,1,Linear Regression,28.991716489432,39.04715737630912
1,32X,2,Linear Regression,27.03526428817036,37.82031602451046
2,32X,1,Decision Tree,0.007109543632439098,0.058023697147448046
3,32X,2,Decision Tree,0.00011986096128490925,0.0010534817110899519
4,32X,1,Random Forest,14.242376142134109,23.69256816940451
5,32X,2,Random Forest,13.422100394089139,23.37242045193078
0,44B,1,Linear Regression,30.604840951682764,46.07364740413344
1,44B,2,Linear Regression,35.12095990799604,54.62565668901231
2,44B,1,Decision Tree,0.015884170361367238,0.10745297759953888
3,44B,2,Decision Tree,0.005046618497790738,0.05846488219784651
4,44B,1,Random Forest,14.621481049051553,27.270603883012072
5,44B,2,Random Forest,18.37252215340887,35.7687618420102
0,33X,1,Linear Regression,21.28229793843615,38.58291543797059
1,33X,2,Linear Regression,23.517424801196558,35.0939973140146
2,33X,1,Decision Tree,0.13998065095371834,0.8075254052434189
3,33X,2,Decision Tree,0.06088081153219122,0.44357222736073393
4,33X,1,Random Forest,9.881657662952264,22.941606967138306
5,33X,2,Random Forest,12.33705666019755,21.55995034473988
0,25D,1,Linear Regression,30.353576343584336,45.3902063208016
1,25D,2,Linear Regression,57.56241686659139,82.56272523127026
2,25D,1,Decision Tree,0.06223510974694503,0.4067723911068811
3,25D,2,Decision Tree,0.04762925231111479,0.3687570041966378
4,25D,1,Random Forest,16.31421900121129,29.219384678652517
5,25D,2,Random Forest,27.44638250697313,47.80751208651048
0,51D,1,Linear Regression,18.753108410181,26.321572586706267
1,51D,2,Linear Regression,39.814498705545205,59.924230031932964
2,51D,1,Decision Tree,0.0,0.0
3,51D,2,Decision Tree,0.026297441555987004,0.1904565644878486
4,51D,1,Random Forest,8.883150994019385,15.093162107182149
5,51D,2,Random Forest,19.797757433241127,36.792589481766754
0,15D,1,Linear Regression,36.80126536005307,51.79526934328642
1,15D,2,Linear Regression,38.96960427998699,55.759052626698264
2,15D,1,Decision Tree,0.0015092375748113453,0.012544605864269028
3,15D,2,Decision Tree,0.0,0.0
4,15D,1,Random Forest,18.441935343221797,29.70766159596669
5,15D,2,Random Forest,18.93090366606361,32.29052055769777
0,31D,1,Linear Regression,27.593610860318577,37.254327845179496
1,31D,2,Linear Regression,30.144075251191232,42.14415126142239
2,31D,1,Decision Tree,0.0,0.0
3,31D,2,Decision Tree,0.0,0.0
4,31D,1,Random Forest,11.830232958563956,20.465068912593047
5,31D,2,Random Forest,13.047687564234328,23.47526261004327
0,39X,1,Linear Regression,53.687485460678595,75.45630427690797
1,39X,2,Linear Regression,39.22233491521677,55.291981508132984
2,39X,1,Decision Tree,0.11559941439635105,0.6220423777677072
3,39X,2,Decision Tree,0.032770759446769174,0.3221106268264859
4,39X,1,Random Forest,22.653782854626023,38.18050570638732
5,39X,2,Random Forest,18.516899836665083,33.37007551682941
0,27X,1,Linear Regression,27.393227282365565,39.49721489386333
1,27X,2,Linear Regression,25.9977081586682,34.44613232649194
2,27X,1,Decision Tree,0.008054978579144676,0.07353093259771332
3,27X,2,Decision Tree,0.001271294177472665,0.011422291355016557
4,27X,1,Random Forest,12.343159365966029,21.935174265605614
5,27X,2,Random Forest,12.924231084457222,20.83365584647226
0,51X,1,Linear Regression,,
1,51X,2,Linear Regression,32.53559578522258,44.41406533745631
2,51X,1,Decision Tree,,
3,51X,2,Decision Tree,0.0,0.0
4,51X,1,Random Forest,,
5,51X,2,Random Forest,15.767899613860347,26.71473181808269
0,76A,1,Linear Regression,60.67625655543914,82.53359393810993
1,76A,2,Linear Regression,40.421402803947274,58.11227830204116
2,76A,1,Decision Tree,0.0009093910291359976,0.009002471451184896
3,76A,2,Decision Tree,0.0024899443218013386,0.02310381815140791
4,76A,1,Random Forest,25.559969094993708,42.12533097015051
5,76A,2,Random Forest,19.19277182712461,33.415864749064994
0,25X,1,Linear Regression,30.866583607956183,46.173598615704144
1,25X,2,Linear Regression,38.72118091471193,55.01252161626302
2,25X,1,Decision Tree,0.00035745292268954285,0.0032935483619635593
3,25X,2,Decision Tree,0.0,0.0
4,25X,1,Random Forest,14.605714583575741,27.559595140474094
5,25X,2,Random Forest,20.63440346515335,38.04782930744994
0,77X,1,Linear Regression,,
1,77X,2,Linear Regression,25.135962763071248,34.39247500203533
2,77X,1,Decision Tree,,
3,77X,2,Decision Tree,0.0,0.0
4,77X,1,Random Forest,,
5,77X,2,Random Forest,11.312490299013241,19.598384361296677
0,38D,1,Linear Regression,30.067945495783377,42.65127632079413
1,38D,2,Linear Regression,27.850190831587188,35.83716508645652
2,38D,1,Decision Tree,0.0,0.0
3,38D,2,Decision Tree,0.0,0.0
4,38D,1,Random Forest,14.954750297485795,26.895150876517857
5,38D,2,Random Forest,15.01174732750243,23.721293747974318
0,69X,1,Linear Regression,31.734793779137277,44.691694433631376
1,69X,2,Linear Regression,49.164267414188956,65.69224376971387
2,69X,1,Decision Tree,0.000356506238859175,0.00298540717013266
3,69X,2,Decision Tree,0.0,0.0
4,69X,1,Random Forest,15.360484829317844,27.98679707017742
5,69X,2,Random Forest,26.146779306297024,43.23779468880862
0,41A,1,Linear Regression,,
1,41A,2,Linear Regression,27.322663477050646,37.55037202368694
2,41A,1,Decision Tree,,
3,41A,2,Decision Tree,0.0009341933394458131,0.00838215377082074
4,41A,1,Random Forest,,
5,41A,2,Random Forest,11.561079749554995,20.54196833635518
0,14C,1,Linear Regression,14.800864651798285,20.559935331678123
1,14C,2,Linear Regression,15.680515792932809,21.474905547259624
2,14C,1,Decision Tree,0.0,0.0
3,14C,2,Decision Tree,0.009436529867464839,0.047181393649245236
4,14C,1,Random Forest,17.939943140734606,23.127249819033143
5,14C,2,Random Forest,7.428152544687227,12.541404386866327
0,70D,1,Linear Regression,35.67291179620967,52.59955479672
1,70D,2,Linear Regression,24.404177611064103,32.01212649680984
2,70D,1,Decision Tree,0.0,0.0
3,70D,2,Decision Tree,0.0,0.0
4,70D,1,Random Forest,16.180830322559643,29.216466153504186
5,70D,2,Random Forest,11.312627357605447,18.69668513847261
0,116,1,Linear Regression,33.165161834866495,45.56284870621461
1,116,2,Linear Regression,37.208425933425566,49.894723802578135
2,116,1,Decision Tree,0.0,0.0
3,116,2,Decision Tree,0.0,0.0
4,116,1,Random Forest,16.782043723814898,27.15005771596899
5,116,2,Random Forest,20.6056341023434,34.395983186141514
0,118,1,Linear Regression,,
1,118,2,Linear Regression,33.0595266041331,42.52466418836678
2,118,1,Decision Tree,,
3,118,2,Decision Tree,0.0,0.0
4,118,1,Random Forest,,
5,118,2,Random Forest,17.203549313278582,26.54582621978874
0,161,1,Linear Regression,16.39025108931461,21.869457355798886
1,161,2,Linear Regression,37.83734125410673,53.91174723505221
2,161,1,Decision Tree,0.0,0.0
3,161,2,Decision Tree,0.0,0.0
4,161,1,Random Forest,11.824671476571849,17.477027053089206
5,161,2,Random Forest,17.829241228617622,33.94809187148832
0,68X,1,Linear Regression,,
1,68X,2,Linear Regression,25.57082140463576,33.41644612489724
2,68X,1,Decision Tree,,
3,68X,2,Decision Tree,0.0,0.0
4,68X,1,Random Forest,,
5,68X,2,Random Forest,15.055732561830125,23.25983272829666
0,33D,1,Linear Regression,31.454343183321008,45.67357074195635
1,33D,2,Linear Regression,28.224508872907798,41.29554354404593
2,33D,1,Decision Tree,0.0,0.0
3,33D,2,Decision Tree,0.0,0.0
4,33D,1,Random Forest,15.311908704947923,27.198551965548017
5,33D,2,Random Forest,15.987625693083782,28.24922295960695
0,40E,1,Linear Regression,25.032565651789692,37.96035903083377
1,40E,2,Linear Regression,20.978233719596364,36.09858421161834
2,40E,1,Decision Tree,0.0056763632872503834,0.041128185136301794
3,40E,2,Decision Tree,0.005022484591894451,0.04977685330609868
4,40E,1,Random Forest,12.764550204178882,23.49380578967224
5,40E,2,Random Forest,8.565372497251833,18.55190037425379
0,16D,1,Linear Regression,31.27441375777332,44.46109077863415
1,16D,2,Linear Regression,,
2,16D,1,Decision Tree,0.0,0.0
3,16D,2,Decision Tree,,
4,16D,1,Random Forest,16.23318524041936,30.423596228106703
5,16D,2,Random Forest,,
0,33E,1,Linear Regression,9.23301804542156,11.475927875943762
1,33E,2,Linear Regression,,
2,33E,1,Decision Tree,0.0,0.0
3,33E,2,Decision Tree,,
4,33E,1,Random Forest,8.210421976777118,12.074486404577154
5,33E,2,Random Forest,,
0,41D,1,Linear Regression,6.971600474092131e-13,8.275559945861603e-13
1,41D,2,Linear Regression,3.7268546525503585e-12,4.373310291998195e-12
2,41D,1,Decision Tree,0.0,0.0
3,41D,2,Decision Tree,0.0,0.0
4,41D,1,Random Forest,17.34234234234234,18.91609887318843
5,41D,2,Random Forest,25.27596371882086,39.144779308762985
