,Route,Direction,Model,MAE,RMSE
1,44,2,Linear Regression,26.811896784328177,43.419105630552934
2,44,1,Decision Tree,1.1746272637970845,4.552006400128175
3,44,2,Decision Tree,1.2044886161304973,4.545304586440717
4,44,1,Random Forest,14.47927766626886,24.75045427211142
5,44,2,Random Forest,14.449803144532954,26.370895329463362
0,40B,1,Linear Regression,23.632803840262223,36.14838134233993
1,40B,2,Linear Regression,24.454245995943744,38.18521764642046
2,40B,1,Decision Tree,0.26017456673851985,1.2072744862389577
3,40B,2,Decision Tree,0.09771734194558152,0.701414058067199
4,40B,1,Random Forest,12.78567616252582,24.102880947441488
5,40B,2,Random Forest,14.052176728793484,26.13545655612453
0,41C,1,Linear Regression,31.65688374057428,48.40179561995686
1,41C,2,Linear Regression,28.10299040668558,44.24146212084418
2,41C,1,Decision Tree,2.0226218140467696,6.584226917778498
3,41C,2,Decision Tree,2.578659660899575,7.95152411380398
4,41C,1,Random Forest,16.02947966296488,30.21891539796512
5,41C,2,Random Forest,14.525702814599944,26.495553738818945
0,83A,1,Linear Regression,33.64482870693425,50.36623235942895
1,83A,2,Linear Regression,28.760834352866468,44.737201640431635
2,83A,1,Decision Tree,0.6905307380136256,3.018950577646619
3,83A,2,Decision Tree,0.906874767985608,3.7611088330792555
4,83A,1,Random Forest,26.698104007409306,45.10378464547217
5,83A,2,Random Forest,13.899497494329559,26.21980235696513
0,238,1,Linear Regression,40.967055982194,61.98448017216565
1,238,2,Linear Regression,36.46196189722067,53.12204010762027
2,238,1,Decision Tree,0.7171772455712287,3.3100922839201687
3,238,2,Decision Tree,0.3649430461683997,1.8756352407060364
4,238,1,Random Forest,25.346682280155495,47.77886738808107
5,238,2,Random Forest,16.996312552405257,31.579597018446044
0,25,1,Linear Regression,25.187446205099597,40.25297673705867
1,25,2,Linear Regression,25.787469305911607,40.92501045737549
2,25,1,Decision Tree,0.8494066525028549,4.045003125524251
3,25,2,Decision Tree,0.8461252484989858,3.46265660274907
4,25,1,Random Forest,11.354269849425812,22.630355347191728
5,25,2,Random Forest,18.772463205816955,32.050470624030716
0,38A,1,Linear Regression,42.98888082774779,61.767282880767105
1,38A,2,Linear Regression,44.80932421243406,65.45252703767541
2,38A,1,Decision Tree,1.4853625050560604,6.136987558989602
3,38A,2,Decision Tree,2.5813325299455823,9.449912198242513
4,38A,1,Random Forest,23.406175759361957,41.69447890214958
5,38A,2,Random Forest,21.898547023810906,39.469026697556586
0,63,1,Linear Regression,27.11411172219402,41.8357439948846
1,63,2,Linear Regression,22.4999519719049,36.638827578111
2,63,1,Decision Tree,1.154747822168964,4.859839137149209
3,63,2,Decision Tree,1.3156795152282772,5.590456802638606
4,63,1,Random Forest,18.080064038916714,32.65881910196658
5,63,2,Random Forest,27.459628480704524,58.47498079680782
0,4,1,Linear Regression,26.778631777383076,41.19281244330053
1,4,2,Linear Regression,29.735041521913857,43.03238891053599
2,4,1,Decision Tree,3.8466744986771917,10.441146793856204
3,4,2,Decision Tree,3.9895693670776606,10.56943236444752
4,4,1,Random Forest,22.77488373123196,38.822417549234885
5,4,2,Random Forest,20.305371720582166,31.389067090440005
0,66A,1,Linear Regression,33.39148362973242,54.32972652872929
1,66A,2,Linear Regression,35.252524422884726,55.56916297383632
2,66A,1,Decision Tree,0.4449497289799864,2.5317253875593533
3,66A,2,Decision Tree,0.4277490339649511,2.288734577835844
4,66A,1,Random Forest,16.124791069861036,32.79324154711947
5,66A,2,Random Forest,18.988931805327688,36.031305812478806
0,31,1,Linear Regression,21.651220809975385,32.07133035070393
1,31,2,Linear Regression,22.23201531226065,31.62028713950488
2,31,1,Decision Tree,1.0765442327162211,3.7663318786514584
3,31,2,Decision Tree,1.7095704485640901,5.244142007012025
4,31,1,Random Forest,11.174228851823713,19.66255226157185
5,31,2,Random Forest,12.458126917851981,22.192320030841685
0,150,1,Linear Regression,36.33683551045107,55.69379157444553
1,150,2,Linear Regression,38.9191114351129,55.09501874893274
2,150,1,Decision Tree,2.4213061890742567,7.423888809693079
3,150,2,Decision Tree,2.6339642319875067,7.779502144315489
4,150,1,Random Forest,22.66404702273519,39.6225155993316
5,150,2,Random Forest,19.72467236469997,36.630258383125245
0,17A,1,Linear Regression,30.699925262763795,44.13187391342469
1,17A,2,Linear Regression,29.679344392487444,43.87597802326696
2,17A,1,Decision Tree,2.072294890501203,6.767970557506582
3,17A,2,Decision Tree,2.1685979809037494,6.915688713208046
4,17A,1,Random Forest,17.709155298445697,30.24883305802505
5,17A,2,Random Forest,15.48573089550742,27.25276354327172
0,25B,1,Linear Regression,32.47895401471974,50.09177372186919
1,25B,2,Linear Regression,42.73757824052011,66.03025259080495
2,25B,1,Decision Tree,2.333217999615964,7.507109025179592
3,25B,2,Decision Tree,2.0105164054176847,7.057518420344168
4,25B,1,Random Forest,17.40692495733625,30.914922458921296
5,25B,2,Random Forest,20.722558949055514,38.135245551465886
0,31A,1,Linear Regression,19.27383903224362,30.334293945636073
1,31A,2,Linear Regression,16.114352197217528,24.860218936825436
2,31A,1,Decision Tree,0.16807548528223112,1.0752062869195955
3,31A,2,Decision Tree,0.4162419180545805,1.90297341814628
4,31A,1,Random Forest,10.372219145239507,19.543100185564548
5,31A,2,Random Forest,8.981122948988098,16.48425304766291
0,27B,1,Linear Regression,27.14882832834005,41.224374576343635
1,27B,2,Linear Regression,33.26798055738853,47.123970108395575
2,27B,1,Decision Tree,1.1125898498876923,4.2875536614043686
3,27B,2,Decision Tree,2.287516317699815,7.194305884278968
4,27B,1,Random Forest,12.246773198031196,22.84618240982733
5,27B,2,Random Forest,31.975987811648405,51.2088157768342
0,33,1,Linear Regression,29.216913521107028,48.126345343592014
1,33,2,Linear Regression,23.84002120804762,35.96329221125634
2,33,1,Decision Tree,0.44479420223908206,2.3007203456066474
3,33,2,Decision Tree,0.8024054153723559,3.150965530734548
4,33,1,Random Forest,17.633122917814173,35.185687869683434
5,33,2,Random Forest,11.929730485024548,21.792589508937287
0,32,1,Linear Regression,18.193147621170667,27.65199918874871
1,32,2,Linear Regression,16.320548614258254,23.82500159033534
2,32,1,Decision Tree,1.2474194933695422,4.550899147688305
3,32,2,Decision Tree,1.3947576067608276,4.505509852885334
4,32,1,Random Forest,10.565137906176613,18.728444169335184
5,32,2,Random Forest,10.900206110158589,17.70859918220616
0,14,1,Linear Regression,25.459512343803425,39.30839679563176
1,14,2,Linear Regression,29.163375989460956,43.02529228113569
2,14,1,Decision Tree,2.882666629696325,8.346482238662592
3,14,2,Decision Tree,2.956218729997509,8.327766432361479
4,14,1,Random Forest,13.509751599579996,24.02662804948193
5,14,2,Random Forest,15.053386698033373,25.626621428098236
0,67,1,Linear Regression,23.91176742009101,36.05344983679298
1,67,2,Linear Regression,25.997163126753755,42.36725673438807
2,67,1,Decision Tree,1.3680663560404989,4.9421119276541114
3,67,2,Decision Tree,1.6101836527634978,5.738079651068247
4,67,1,Random Forest,12.416015071245269,23.02905521651371
5,67,2,Random Forest,14.315010327777484,26.590939350033477
0,9,1,Linear Regression,28.119839679977535,41.15685489676452
1,9,2,Linear Regression,27.34309073581138,40.84305903734675
2,9,1,Decision Tree,3.9105911964236935,10.544362890312938
3,9,2,Decision Tree,3.372649401111829,9.644432169683125
4,9,1,Random Forest,15.491765437416122,25.984905819288688
