,Route,Direction,Model,RMSE,MAE
0,84X,2,lin_reg,58.8294850566565,36.48432581829444
1,84X,2,decision Tree,27.655209374709035,14.380185635526182
2,84X,2,random forest,34.93296896078284,19.877383846126857
0,184,2,lin_reg,79.59578899010737,26.961210288066564
1,184,2,decision Tree,47.33292689010133,11.33387024482204
2,184,2,random forest,57.43763595475657,15.130834337105338
0,16C,2,lin_reg,25.210729759639413,16.996007187696726
1,16C,2,decision Tree,7.2344139038028805,3.0597455177133246
2,16C,2,random forest,13.004210632214951,7.749827571144795
0,66A,1,lin_reg,76.37732753952427,31.653171915515042
1,66A,1,decision Tree,14.042529148288605,6.273044950018537
2,66A,1,random forest,41.36942817447322,14.444741730768461
0,47,1,lin_reg,64.33497737485413,33.60639865397424
1,47,1,decision Tree,23.60968764265788,8.148022048248507
2,47,1,random forest,37.27495692628686,15.47495528049261
0,38A,1,lin_reg,87.97367998565979,39.656424313938686
1,38A,1,decision Tree,44.53196760471897,15.425178551527699
2,38A,1,random forest,56.0122379948751,20.982990808028664
0,4,2,lin_reg,52.690710024804936,31.1573902061381
1,4,2,decision Tree,36.52294055470213,20.248554113160285
2,4,2,random forest,38.26116039498626,21.209690404754625
0,120,1,lin_reg,49.277692279408285,24.970074534556346
1,120,1,decision Tree,30.6228021229531,14.101954221686706
2,120,1,random forest,34.670564312560664,15.824141417467645
0,68A,1,lin_reg,74.12359138047081,47.5944317452344
1,68A,1,decision Tree,3.3399088270061497,0.358137340455406
2,68A,1,random forest,34.62667183510743,16.742941419588902
0,40E,2,lin_reg,64.56439149791576,22.99164971558483
1,40E,2,decision Tree,21.52895587836616,5.083864242977346
2,40E,2,random forest,33.365932028540755,9.701516072873723
0,37,2,lin_reg,45.68243653571636,25.601469206622706
1,37,2,decision Tree,27.8626034176171,15.070340769517703
2,37,2,random forest,31.22933750880601,16.953743150864042
0,15B,2,lin_reg,53.913875425422894,31.1380828819715
1,15B,2,decision Tree,35.186449641001374,18.620720235347804
2,15B,2,random forest,37.847885952387834,20.055915299029426
0,185,2,lin_reg,70.43423115980828,25.608289001876923
1,185,2,decision Tree,24.94519189875341,4.945143568729534
2,185,2,random forest,42.12899242528046,12.76683017711819
0,77A,1,lin_reg,54.9599342742395,28.178590313441788
1,77A,1,decision Tree,34.51585071461048,16.017088716707082
2,77A,1,random forest,38.99745068675745,17.62199508858628
0,145,2,lin_reg,89.2908305233801,35.87858214863868
1,145,2,decision Tree,62.0306194658064,25.96282404908375
2,145,2,random forest,64.83035270911135,26.654707049328348
0,76,2,lin_reg,50.699297458712124,32.04182817608765
1,76,2,decision Tree,22.0831224013407,12.317478796357888
2,76,2,random forest,28.05204613658628,15.243953224200293
0,150,2,lin_reg,58.351286847347716,30.72740147715019
1,150,2,decision Tree,29.811647175496052,14.23398470262565
2,150,2,random forest,34.470746466560804,16.73623162178139
0,1,2,lin_reg,61.9317043729688,32.41120595979925
1,1,2,decision Tree,40.21845293973335,19.6179395326412
2,1,2,random forest,44.705045757083404,21.38007169139928
0,120,2,lin_reg,48.92515596636992,28.403722988770408
1,120,2,decision Tree,28.621446023482875,14.815555378973011
2,120,2,random forest,32.01727150551036,16.598237946170325
0,65,1,lin_reg,60.27912031667833,23.442947832843245
1,65,1,decision Tree,15.26396864163174,5.880103522600856
2,65,1,random forest,30.987305564181995,11.100118243485827
0,45A,1,lin_reg,39.63811394340023,24.987963776260536
1,45A,1,decision Tree,20.29356812859175,11.006480203323163
2,45A,1,random forest,24.517404278939257,13.64912068545344
0,16C,1,lin_reg,40.87788907556168,23.935565607219473
1,16C,1,decision Tree,9.806494278656626,3.9280915770277707
2,16C,1,random forest,20.947729743917716,11.139224429275405
0,31,2,lin_reg,30.06035080388645,18.919491915530735
1,31,2,decision Tree,18.241075403262887,10.568730905793693
2,31,2,random forest,20.887136798798362,12.206105116137845
0,84,1,lin_reg,71.23978614459216,31.884351263272226
1,84,1,decision Tree,19.472699850242982,8.067663791228725
2,84,1,random forest,32.278093092921736,13.989553787802278
0,41X,1,lin_reg,68.48606913033889,45.0297234053496
1,41X,1,decision Tree,35.07842588909877,18.85663735494475
2,41X,1,random forest,40.61563108885844,22.415824055164922
0,27B,1,lin_reg,47.274058470633854,22.78866332539862
1,27B,1,decision Tree,27.475738244557412,12.394296586961394
2,27B,1,random forest,33.03740271687198,14.670027386082465
